"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"Fort Smith, AR-OK Metro Area","298,592","1,075","4,397","2,393","1,865",387,"1,218",984,0,196,84,107,136,0,191,32,204,47,47,0,66,517,36,96,0,580,245,33,0,0,0,0,0,12,39,0,91,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbus, GA-AL Metro Area","294,865","2,207","3,053","2,491","2,234","2,763","1,993","1,272","1,600","1,735",0,94,207,44,134,65,0,15,80,0,0,0,0,0,0,0,42,37,23,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boulder, CO Metro Area","294,567","8,450","8,802","4,839","1,561",632,"2,359",483,"2,906","1,401","2,429",827,"1,328","1,248","3,052","3,456","5,527","3,138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huntington-Ashland, WV-KY-OH Metro Area","287,702","6,096","3,660","3,245","1,571",605,475,"1,867","1,683",440,411,"1,198",966,"2,209",702,"1,022",368,"2,303",683,216,80,0,0,56,0,51,0,0,0,0,85,0,0,31,27,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lubbock, TX Metro Area","284,890","5,452","5,056","3,132","3,899","4,037","3,799","1,839","2,059",153,140,291,727,0,0,0,"1,628",0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spartanburg, SC Metro Area","284,307","2,900","1,920","1,315","1,142",940,736,"1,000",475,322,469,348,667,81,241,256,662,"1,432",115,65,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erie, PA Metro Area","280,566","7,989","8,980","4,844","2,972","1,930","1,651","1,080",186,0,367,255,0,0,87,893,821,82,"2,816",0,55,"1,814",495,"3,162",49,44,0,"1,102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duluth, MN-WI Metro Area","279,771","4,645","6,058","2,563","1,526","3,020",726,779,245,645,0,369,0,66,0,31,0,600,"1,018",0,36,0,22,38,0,0,0,0,0,0,0,8,7,0,0,0,37,0,0,9,0,0,0,4,0,0,0,0,0,44,0,36,374,15,0,"2,040",816,24,29,"2,105","2,338",0,"1,111",0,0,14,0,12,0,0,0,0,0,10,0,0,0,0,0,"1,278",0,0,0,0,0,0,0,0,0,2,0,0
"Atlantic City-Hammonton, NJ Metro Area","274,549","9,237","19,609","7,538","5,889","2,885","3,523","2,321","1,672","1,666","1,955","1,138",604,0,460,0,0,388,106,0,68,136,0,0,0,0,0,306,184,479,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norwich-New London, CT Metro Area","274,055","4,717","2,542",588,858,0,537,420,554,346,846,"1,982","1,917","2,594","1,646","2,316",693,486,800,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarksville, TN-KY Metro Area","273,949","2,064","1,444",895,"1,353","1,543","1,402","1,290","1,135",377,646,"1,055","6,886",0,0,0,0,34,0,22,0,0,0,512,725,"2,208","1,689",37,67,0,42,0,0,63,0,28,41,0,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lafayette, LA Metro Area","273,738","3,954","2,716","3,386","2,427","1,394","1,465","1,114",407,534,179,0,230,156,282,77,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Luis Obispo-Paso Robles, CA Metro Area","269,637","5,108","1,329","1,674","12,433",0,66,0,0,"2,566","1,289","2,831","3,245","3,206","1,700","2,644","1,716",294,144,7,"1,479","1,415",0,"2,740","4,566","1,583",16,0,0,0,46,739,471,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area","269,291","2,336","1,567","1,010",955,"1,476","1,302","1,517","1,699",864,"1,992",917,484,482,723,929,808,327,267,571,172,313,48,81,0,124,0,55,108,0,50,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hagerstown-Martinsburg, MD-WV Metro Area","269,140","7,178","2,726","1,327",851,0,"1,415",170,356,0,303,467,0,69,207,145,641,303,0,"2,773","1,137",0,0,351,0,0,65,314,0,294,0,62,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gainesville, FL Metro Area","264,275","6,844","4,019","3,656","3,650","2,362","3,046","1,236",867,228,45,147,116,0,80,0,0,0,105,0,0,0,0,46,0,52,0,0,0,0,58,0,0,0,37,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holland-Grand Haven, MI Metro Area","263,801","4,674","1,786","2,260","1,177","1,280",625,281,169,154,0,0,0,353,"1,636",864,"1,181","2,530","2,046","1,218","1,158","1,031",863,725,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santa Cruz-Watsonville, CA Metro Area","262,382","7,973","5,444","5,771","5,287","2,122","1,478","3,725",924,"1,565",38,119,244,301,817,"8,275","7,503","7,880",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cedar Rapids, IA Metro Area","257,940","2,115","2,874","2,400","3,186","2,219","2,013",715,411,66,0,54,32,35,60,0,0,207,34,28,460,0,0,335,12,0,0,0,0,0,0,284,16,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merced, CA Metro Area","255,793","5,572","4,471","2,150",871,0,0,"2,193","4,817","1,690",922,0,0,0,256,"3,292",0,0,118,"5,046",0,20,156,0,692,"1,026","2,040","2,951","2,145",35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kennewick-Pasco-Richland, WA Metro Area","253,340","5,985","2,916","3,387","2,073","1,171","2,708","2,244","1,403","1,229","3,360","1,646","1,133",950,29,148,0,150,0,0,74,0,0,0,2,0,0,0,0,0,0,19,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greeley, CO Metro Area","252,825","6,274","4,392","4,527","3,037","1,558","1,191",100,59,0,157,"2,696","2,224",802,357,0,34,0,0,0,2,0,98,"2,267","1,131",364,418,347,224,0,58,81,0,"1,175","3,109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lynchburg, VA Metro Area","252,634","3,947","1,523","3,046","1,634",912,"1,589",620,756,773,"1,280",0,133,0,34,0,20,104,29,46,59,0,824,39,94,39,0,0,0,46,0,0,63,70,116,164,140,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olympia, WA Metro Area","252,264","3,006","3,133","2,277","1,596","2,512","2,824","1,437",396,130,0,115,0,0,149,506,329,140,214,73,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Binghamton, NY Metro Area","251,725","7,052","4,771","3,960","1,083",628,526,"2,429","2,975",619,118,0,439,66,104,0,0,0,938,55,59,0,0,80,47,0,0,0,0,0,0,72,0,"2,671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bremerton-Silverdale, WA Metro Area","251,133","7,022","3,960","2,612","2,301","2,056",514,"1,864","1,359",475,462,334,"1,236",0,725,252,716,0,301,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Laredo, TX Metro Area","250,304","6,500","8,375","8,182","6,375","4,389","3,467","1,854",257,0,731,0,0,146,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amarillo, TX Metro Area","249,881","2,999","3,233","3,727","2,789","3,645","2,990","2,573",547,22,0,248,0,48,0,0,0,"1,424",0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gulfport-Biloxi, MS Metro Area","248,820","2,084","2,985","1,062","1,735","1,622","1,532","1,546","1,770","1,211","1,067","1,134",847,"1,937",408,87,420,760,0,492,0,33,0,0,0,0,54,0,0,22,30,34,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yakima, WA Metro Area","243,231","6,855","5,681","3,256","1,688","1,879",490,127,0,0,223,0,764,0,4,0,2,49,97,"2,578",0,0,0,0,0,0,180,26,0,0,0,"2,446",0,0,0,75,0,0,"2,146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Waco, TX Metro Area","234,906","5,191","3,216","4,291","1,876","1,930","1,126",214,550,771,149,38,48,113,56,0,78,90,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Topeka, KS Metro Area","233,870","3,679","3,873","1,736","2,946","1,948","1,826",454,237,49,0,0,46,0,0,0,0,47,0,0,27,0,0,20,26,11,0,22,0,98,393,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macon, GA Metro Area","232,293","2,499","2,674","2,315","1,783","1,641",894,769,755,602,183,0,0,202,48,0,67,17,31,0,21,0,0,40,138,24,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Champaign-Urbana, IL Metro Area","231,891","20,707","5,878","3,508",954,541,0,0,0,188,0,432,74,0,544,488,27,0,0,234,0,0,0,0,30,947,549,13,0,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"College Station-Bryan, TX Metro Area","228,660","6,546","5,490","2,871","3,220","2,719","2,282","1,012",81,0,45,0,0,0,0,16,0,0,20,13,0,0,0,0,176,0,0,0,17,0,0,0,14,16,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sioux Falls, SD Metro Area","228,261","4,957","3,419","3,433","2,475","2,488","3,341",65,409,646,25,33,0,39,0,35,0,0,13,87,165,0,0,0,15,0,0,0,10,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Appleton, WI Metro Area","225,666","5,702","4,006","2,797","1,534","2,624","2,473","1,115",495,0,167,0,101,70,0,119,0,60,104,0,137,30,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chico, CA Metro Area","220,000","3,936","4,771","4,131","2,103","1,030",43,0,0,24,0,98,"1,290","1,207",810,"1,424",0,24,0,0,536,109,"2,608","1,424",756,204,284,101,195,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuscaloosa, AL Metro Area","219,461","6,186","3,074","2,096","2,318","1,157",681,548,315,57,0,75,0,22,29,0,28,26,0,61,0,0,0,0,0,170,0,0,0,0,0,18,0,20,0,0,0,61,0,0,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnstable Town, MA Metro Area","215,888","2,239","1,459","1,111","1,300","1,098",572,669,869,586,730,592,648,0,708,370,685,766,695,"1,003",487,369,0,0,139,0,0,0,96,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Longview, TX Metro Area","214,369",0,"2,343","1,813","1,735","2,024","1,315",279,127,0,533,267,145,0,270,58,0,0,0,61,106,240,89,821,0,"1,012",44,0,27,0,0,0,0,0,0,0,0,0,0,14,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burlington-South Burlington, VT Metro Area","211,261","8,939","4,737","1,573","2,274",832,"2,383",309,0,266,0,0,169,0,113,47,118,0,94,72,0,0,0,0,"1,317","3,511",0,0,29,0,0,111,0,0,56,0,0,0,50,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prescott, AZ Metro Area","211,033","2,154",434,986,"1,892",214,306,0,0,"1,108","2,391","1,212",0,0,0,165,43,0,28,0,0,0,32,0,0,0,0,0,4,184,"1,098",0,0,151,294,0,0,0,11,61,0,4,82,0,114,213,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Springfield, IL Metro Area","210,170","4,560","3,665","2,912","1,852","1,327",640,154,92,998,188,0,0,0,24,47,0,167,187,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler, TX Metro Area","209,714","2,872","2,593","2,265","2,339","1,921",566,476,0,0,284,759,192,148,43,195,78,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Las Cruces, NM Metro Area","209,233","3,712","4,198","2,753",567,666,25,0,898,19,0,0,50,228,0,0,0,0,2,0,74,13,0,0,"3,629",0,0,87,0,180,0,0,0,8,0,14,0,"1,921","4,945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fargo, ND-MN Metro Area","208,777","4,747","4,996","3,657","2,316","3,881","2,336",513,0,38,0,7,0,0,0,0,0,0,11,0,0,11,17,5,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Houma-Bayou Cane-Thibodaux, LA Metro Area","208,178","1,526","2,323","1,888",28,977,432,321,47,245,156,"1,296",702,532,42,"1,371","1,646",69,47,0,95,807,0,0,217,0,25,0,36,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florence, SC Metro Area","205,566","1,711","1,894","1,137","1,980","1,219",208,794,246,0,357,287,0,38,67,0,74,69,0,48,65,432,692,399,211,122,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medford, OR Metro Area","203,206","6,454","2,934","2,867","2,290","1,135",276,242,784,68,0,40,435,"1,199","2,664",0,0,4,0,30,27,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lafayette, IN Metro Area","201,789","5,745","9,386","3,342","2,054","1,276",195,65,107,106,0,32,0,0,0,0,35,711,24,205,36,0,129,0,0,36,0,29,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charlottesville, VA Metro Area","201,559","4,372","7,633","2,182","2,845",0,176,363,47,0,172,0,718,298,47,267,46,84,0,0,67,41,55,0,0,0,0,0,0,29,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bellingham, WA Metro Area","201,140","4,513","5,394","3,488",688,158,0,0,272,205,883,216,0,0,"1,198",409,115,0,5,403,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Havasu City-Kingman, AZ Metro Area","200,186","2,405","1,313","1,822",266,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,93,66,0,0,0,959,374,231,0,741,0,"3,152","1,993",0,0,639,296,47,"1,337",472,0,"2,379","3,422",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,2,0,0
"Saginaw-Saginaw Township North, MI Metro Area","200,169","3,350","4,088","2,444","1,781","1,682",775,243,159,320,55,102,218,0,93,121,0,51,55,139,66,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Charles, LA Metro Area","199,607","2,053","2,782","3,094","1,617","1,988","1,076",500,"2,338",903,610,0,30,678,34,0,0,0,0,6,0,172,559,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson City, TN Metro Area","198,716","2,929","3,243","1,156",699,857,564,850,576,"1,214",283,0,49,"1,029",167,103,128,0,0,64,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elkhart-Goshen, IN Metro Area","197,559","5,373","2,160","1,777",897,699,"1,003",0,275,"1,449","1,566","4,393",786,216,690,0,123,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yuma, AZ Metro Area","195,751","4,028","5,630","5,181","4,129",547,308,793,0,0,"2,754","2,309",784,329,"1,577",253,0,23,930,"3,136",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Racine, WI Metro Area","195,408","7,491","6,377","3,809","1,997","1,402",783,"1,109",197,0,0,92,0,109,893,0,777,0,97,171,0,634,"2,068",233,0,864,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloomington, IN Metro Area","192,714","7,109","5,258","2,428","1,389",948,417,262,0,59,140,0,0,59,0,193,0,52,55,0,0,0,35,45,300,56,0,0,0,0,26,0,0,0,47,"1,191",659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Athens-Clarke County, GA Metro Area","192,541","5,448","3,578","1,955",830,"1,269",371,313,205,0,189,0,56,0,0,0,75,0,63,0,11,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
